Symbol,Common Name,Legacy Python Model Type,Habitat,LAVegMod Fort Group Name,Group ID,Dispersal Class,FFIBS score
WATER,OpenWater,NullModel_Coverage,NA,veg_col_water,0,0,-9999
NOTMOD,NotModelled,NullModel_Coverage,NA,veg_col_notmod,1,0,-9999
BAREGRND_OLD,BareGround,NullModel_Coverage,NA,veg_col_baregrnd_old,2,0,-9999
BAREGRND_NEW,BareGround,NullModel_Coverage,NA,veg_col_baregrnd_new,3,0,-9999
QULA3,LaurelOak,BottomlandHardwoodForestModel,Fresh,veg_col_blh,6,1,0
QULE,,BottomlandHardwoodForestModel,Fresh,veg_col_blh,6,1,0
QUNI,WaterOak,BottomlandHardwoodForestModel,Fresh,veg_col_blh,6,1,0
QUTE,TexasRedOak,BottomlandHardwoodForestModel,Fresh,veg_col_blh,6,1,0
QUVI,,BottomlandHardwoodForestModel,Fresh,veg_col_blh,6,1,0
ULAM,,BottomlandHardwoodForestModel,Fresh,veg_col_blh,6,1,0
NYAQ2,Tupelo,SwampForestModel,Fresh,veg_col_swp,7,1,0
SANI,BlackWillow,SwampForestModel,Fresh,veg_col_swp,7,3,0
TADI2,Cypress,SwampForestModel,Fresh,veg_col_swp,7,1,0
ELBA2_Flt,,FloatingMarshModel,Fresh,veg_col_flt,4,2,-9999
PAHE2_Flt,,FloatingMarshModel,Fresh,veg_col_flt,4,1,-9999
BAREGRND_Flt,,FloatingMarshModel,Fresh,veg_col_flt,4,0,-9999
DEAD_Flt,,NullModel,Fresh,veg_col_dead_flt,5,0,-9999
COES,Elephantsear,EmergentWetlandModel,Fresh,veg_col_ewf,8,3,0.25
MOCE2,WaxMyrtle,EmergentWetlandModel,Fresh,veg_col_ewf,8,2,0.25
PAHE2,Maidencane,EmergentWetlandModel,Fresh,veg_col_ewf,8,1,0.25
SALA2,Arrowhead,EmergentWetlandModel,Fresh,veg_col_ewf,8,3,0.25
ZIMI,Cutgrass,EmergentWetlandModel,Fresh,veg_col_ewf,8,3,0.25
CLMA10,Sawgrass,EmergentWetlandModel,Intermediate,veg_col_ewi,9,2,1.5
ELCE,Spikerush,EmergentWetlandModel,Intermediate,veg_col_ewi,9,2,1.5
IVFR,Iva,EmergentWetlandModel,Intermediate,veg_col_ewi,9,2,2.75
PAVA,Paspalum,EmergentWetlandModel,Intermediate,veg_col_ewi,9,2,2.75
PHAU7,RouseauCane,EmergentWetlandModel,Intermediate,veg_col_ewi,9,3,2.75
POPU5,Smartweed,EmergentWetlandModel,Intermediate,veg_col_ewi,9,3,1.5
SALA,Bulltongue,EmergentWetlandModel,Intermediate,veg_col_ewi,9,2,1.5
SCCA11,Bullwhip,EmergentWetlandModel,Intermediate,veg_col_ewi,9,2,2.75
TYDO,Cattail,EmergentWetlandModel,Intermediate,veg_col_ewi,9,3,2.75
SCAM6,Three Corner,EmergentWetlandModel,Brackish,veg_col_ewb,10,2,7.15
SCRO5,Leafy treecorner,EmergentWetlandModel,Brackish,veg_col_ewb,10,2,11.5
SPCY,Hogcane,EmergentWetlandModel,Brackish,veg_col_ewb,10,2,11.5
SPPA,Wiregrass,EmergentWetlandModel,Brackish,veg_col_ewb,10,2,7.15
AVGE,Mangrove,EmergentWetlandModel,Saline,veg_col_ews,11,3,24
DISP,Saltgrass,EmergentWetlandModel,Saline,veg_col_ews,11,2,17.5
JURO,Needlegrass,EmergentWetlandModel,Saline,veg_col_ews,11,2,17.5
SPAL,Oystergrass,EmergentWetlandModel,Saline,veg_col_ews,11,1,24
BAHABI,,BarrierIslandModel,NA,veg_col_bi,12,1,-9999
DISPBI,,BarrierIslandModel,NA,veg_col_bi,12,1,-9999
PAAM2,,BarrierIslandModel,NA,veg_col_bi,12,1,-9999
SOSE,,BarrierIslandModel,NA,veg_col_bi,12,1,-9999
SPPABI,,BarrierIslandModel,NA,veg_col_bi,12,1,-9999
SPVI3,,BarrierIslandModel,NA,veg_col_bi,12,1,-9999
STHE9,,BarrierIslandModel,NA,veg_col_bi,12,1,-9999
UNPA,,BarrierIslandModel,NA,veg_col_bi,12,1,-9999
